Fecha,Gasolina Regular,Gasolina Super,Diesel,Gas Licuado
2018-06-01,518911.44,554431.5,937941.13,390078.52
2018-07-01,541811.12,589775.97,958404.1,390568.01
2018-08-01,570267.25,593659.63,1000537.19,407186.84
2018-09-01,531285.29,551547.83,889403.37,385847.95
2018-10-01,573729.34,579478.53,977413.65,408711.35
2018-11-01,563479.42,573687.35,1070253.37,407953.78
2018-12-01,632634.87,654281.25,1115228.8,422695.43
2019-01-01,596682.74,601717.9,1161567.14,426164.22
2019-02-01,559109.22,565421.02,1110621.82,404053.32
2019-03-01,645266.77,610720.58,1236968.65,432549.41
2019-04-01,657570.18,598932.3,1167721.49,417080.81
2019-05-01,666748.63,611615.32,1144474.8,430995.64
2019-06-01,641136.56,595748.38,1020385.82,404857.54
2019-07-01,650150.78,615538.33,1039576.88,424423.26
2019-08-01,668783.39,632420.7,1079234.25,427115.42
2019-09-01,616079.3,587866.84,981793.63,404796.02
2019-10-01,669008.77,643045.33,1053104.89,438940.12
2019-11-01,643070.35,620568.21,1131703.56,434082.5
2019-12-01,706020.77,682475.14,1185193.48,435023.03
2020-01-01,639977.66,622328.27,1195985.79,423298.64
2020-02-01,652062.07,633100.05,1242863.07,428255.71
2020-03-01,573549.42,509753.28,1110969.02,422280.83
2020-04-01,458465.21,391768.4,872802.51,348233.68
2020-05-01,478743.59,407477.83,832000.71,369735.63
2020-06-01,516903.12,388963.67,789476.67,406972.21
2020-07-01,567089.03,462383.95,875026.01,426492.7
2020-08-01,647410.51,574379.33,895465.17,487310.95
2020-09-01,661633.46,610445.1,968551.35,442751.96
2020-10-01,680401.33,648582.82,1080494.05,462210.97
2020-11-01,652595.93,639856.62,1083558.89,423452.78
2020-12-01,768161.74,760695.45,1288980.99,485872.83
2021-01-01,685942.97,655503.47,1232701.34,490510.31
2021-02-01,669312.89,621730.81,1283553.76,450801.63
2021-03-01,773453.52,692228.61,1427880.48,519107.54
2021-04-01,688389.03,610290.32,1278355.9,469398.84
2021-05-01,707336.38,643104.75,1201009.69,477797.33
2021-06-01,692598.71,637338.03,1138243.21,480483.82
2021-07-01,740193.13,665475.44,1208647.99,502500.22
2021-08-01,668221.53,636801.3,1115133.69,495474.87
2021-09-01,670418.8,605278.4,1113263.25,494768.58
2021-10-01,718676.32,675818.23,1177898.15,499790.9
2021-11-01,708246.27,641916.39,1234541.5,482357.07
2021-12-01,821882.15,768107.97,1394414.56,534537.58
2022-01-01,683031.84,621512.78,1294765.04,513015.93
2022-02-01,661521.58,592106.14,1276110.46,519921.04
2022-03-01,701819.65,598038.47,1345694.11,483657.43
2022-04-01,812059.06,569199.43,1297298.27,493178.4
2022-05-01,791824.98,483991.63,1118496.96,515616.02
2022-06-01,781009.47,507260.42,1112134.48,513914.27
2022-07-01,788841.46,554496.9,1135161.38,513619.25
2022-08-01,784468.32,581844.42,1117277.56,541273.94
2022-09-01,760396.15,570632.2,1213546.41,479529.68
2022-10-01,768784.36,573943.48,988133.51,545823.45
2022-11-01,771173.12,572163.23,1176079.78,528393.77
2022-12-01,865851.44,635953.46,1250222.35,556737.22
2023-01-01,804524.73,599501.29,1295323.67,574148.0
2023-02-01,737345.64,544144.0,1235283.58,497273.19
2023-03-01,875010.34,656941.64,1474471.14,588892.16
2023-04-01,798128.36,586642.2,1258452.76,513919.89
2023-05-01,866826.79,646221.2,1358755.57,561767.17
2023-06-01,782745.17,616290.21,1170052.66,532138.9
2023-07-01,825219.05,642098.16,1188776.92,521833.56
2023-08-01,851754.02,632333.4,1234074.37,543825.64
2023-09-01,799852.73,597670.26,1113955.56,517699.48
2023-10-01,728741.16,531542.58,1007881.39,495261.14
2023-11-01,807947.98,632180.03,1259373.2,530542.42
2023-12-01,880233.12,691389.62,1345275.95,541263.18
2024-01-01,830708.13,658083.66,1371766.15,548124.45
2024-02-01,818740.16,654059.6,1352602.93,526897.85
2024-03-01,870771.7,671997.05,1405703.42,523990.91
2024-04-01,847353.15,633520.57,1442103.6,531880.19
2024-05-01,894533.14,692427.94,1407675.22,536754.38
2024-06-01,794408.31,629424.37,1172210.35,523778.26
2024-07-01,837264.63,684082.47,1183811.26,556774.66
2024-08-01,869998.0,707708.07,1233012.65,551959.94
2024-09-01,827629.0,685834.74,1176386.2,555683.08
2024-10-01,942394.34,790948.04,1413999.13,600453.87
2024-11-01,826513.65,699028.58,1333283.64,597059.97
2024-12-01,913940.78,773715.97,1499266.1,564762.33
2025-01-01,828269.64,702319.64,1404525.95,581794.25
2025-02-01,781113.92,651035.74,1427320.28,586541.02
2025-03-01,895068.46,763939.48,1464252.4,589796.81
2025-04-01,878741.74,746081.22,1425778.39,581405.92
2025-05-01,893158.4,761100.59,1422299.28,594599.75
