Fecha,Tipo_Combustible,Volumen
2012-06-01,Gasolina Super,409111.24
2012-07-01,Gasolina Super,420370.6
2012-08-01,Gasolina Super,433828.02
2012-09-01,Gasolina Super,378478.8
2012-10-01,Gasolina Super,414523.22
2012-11-01,Gasolina Super,394751.47
2012-12-01,Gasolina Super,442191.43
2013-01-01,Gasolina Super,408557.45
2013-02-01,Gasolina Super,361215.69
2013-03-01,Gasolina Super,413744.86
2013-04-01,Gasolina Super,409238.3
2013-05-01,Gasolina Super,403354.79
2013-06-01,Gasolina Super,402012.07
2013-07-01,Gasolina Super,425154.22
2013-08-01,Gasolina Super,416968.15
2013-09-01,Gasolina Super,379479.78
2013-10-01,Gasolina Super,430179.69
2013-11-01,Gasolina Super,404692.46
2013-12-01,Gasolina Super,448135.35
2014-01-01,Gasolina Super,412617.93
2014-02-01,Gasolina Super,385430.58
2014-03-01,Gasolina Super,434863.96
2014-04-01,Gasolina Super,437470.07
2014-05-01,Gasolina Super,427487.2
2014-06-01,Gasolina Super,387299.1
2014-07-01,Gasolina Super,439137.13
2014-08-01,Gasolina Super,442953.1
2014-09-01,Gasolina Super,411466.28
2014-10-01,Gasolina Super,459922.48
2014-11-01,Gasolina Super,436467.9
2014-12-01,Gasolina Super,538899.26
2015-01-01,Gasolina Super,503135.7
2015-02-01,Gasolina Super,454190.88
2015-03-01,Gasolina Super,521879.26
2015-04-01,Gasolina Super,486779.41
2015-05-01,Gasolina Super,483594.83
2015-06-01,Gasolina Super,480892.11
2015-07-01,Gasolina Super,515322.66
2015-08-01,Gasolina Super,513413.0
2015-09-01,Gasolina Super,501658.04
2015-10-01,Gasolina Super,532741.14
2015-11-01,Gasolina Super,516486.95
2015-12-01,Gasolina Super,600161.72
2016-01-01,Gasolina Super,545737.53
2016-02-01,Gasolina Super,540459.19
2016-03-01,Gasolina Super,575720.92
2016-04-01,Gasolina Super,545605.47
2016-05-01,Gasolina Super,551000.79
2016-06-01,Gasolina Super,537583.25
2016-07-01,Gasolina Super,562778.84
2016-08-01,Gasolina Super,585748.5
2016-09-01,Gasolina Super,548491.65
2016-10-01,Gasolina Super,573754.73
2016-11-01,Gasolina Super,547323.53
2016-12-01,Gasolina Super,615251.51
2017-01-01,Gasolina Super,546212.16
2017-02-01,Gasolina Super,526888.94
2017-03-01,Gasolina Super,592249.34
2017-04-01,Gasolina Super,530345.96
2017-05-01,Gasolina Super,588861.62
2017-06-01,Gasolina Super,549378.05
2017-07-01,Gasolina Super,607702.7
2017-08-01,Gasolina Super,604650.34
2017-09-01,Gasolina Super,560892.67
2017-10-01,Gasolina Super,583658.83
2017-11-01,Gasolina Super,563345.61
2017-12-01,Gasolina Super,635423.76
2018-01-01,Gasolina Super,581802.98
2018-02-01,Gasolina Super,545210.01
2018-03-01,Gasolina Super,618402.18
2018-04-01,Gasolina Super,565665.72
2018-05-01,Gasolina Super,570129.66
2018-06-01,Gasolina Super,554431.5
2018-07-01,Gasolina Super,589775.97
2018-08-01,Gasolina Super,593659.63
2018-09-01,Gasolina Super,551547.83
2018-10-01,Gasolina Super,579478.53
2018-11-01,Gasolina Super,573687.35
2018-12-01,Gasolina Super,654281.25
2019-01-01,Gasolina Super,601717.9
2019-02-01,Gasolina Super,565421.02
2019-03-01,Gasolina Super,610720.58
2019-04-01,Gasolina Super,598932.3
2019-05-01,Gasolina Super,611615.32
2019-06-01,Gasolina Super,595748.38
2019-07-01,Gasolina Super,615538.33
2019-08-01,Gasolina Super,632420.7
2019-09-01,Gasolina Super,587866.84
2019-10-01,Gasolina Super,643045.33
2019-11-01,Gasolina Super,620568.21
2019-12-01,Gasolina Super,682475.14
2020-01-01,Gasolina Super,622328.27
2020-02-01,Gasolina Super,633100.05
2020-03-01,Gasolina Super,509753.28
2020-04-01,Gasolina Super,391768.4
2020-05-01,Gasolina Super,407477.83
2020-06-01,Gasolina Super,388963.67
2020-07-01,Gasolina Super,462383.95
2020-08-01,Gasolina Super,574379.33
2020-09-01,Gasolina Super,610445.1
2020-10-01,Gasolina Super,648582.82
2020-11-01,Gasolina Super,639856.62
2020-12-01,Gasolina Super,760695.45
2021-01-01,Gasolina Super,655503.47
2021-02-01,Gasolina Super,621730.81
2021-03-01,Gasolina Super,692228.61
2021-04-01,Gasolina Super,610290.32
2021-05-01,Gasolina Super,643104.75
2021-06-01,Gasolina Super,637338.03
2021-07-01,Gasolina Super,665475.44
2021-08-01,Gasolina Super,636801.3
2021-09-01,Gasolina Super,605278.4
2021-10-01,Gasolina Super,675818.23
2021-11-01,Gasolina Super,641916.39
2021-12-01,Gasolina Super,768107.97
2022-01-01,Gasolina Super,621512.78
2022-02-01,Gasolina Super,592106.14
2022-03-01,Gasolina Super,598038.47
2022-04-01,Gasolina Super,569199.43
2022-05-01,Gasolina Super,483991.63
2022-06-01,Gasolina Super,507260.42
2022-07-01,Gasolina Super,554496.9
2022-08-01,Gasolina Super,581844.42
2022-09-01,Gasolina Super,570632.2
2022-10-01,Gasolina Super,573943.48
2022-11-01,Gasolina Super,572163.23
2022-12-01,Gasolina Super,635953.46
2023-01-01,Gasolina Super,599501.29
2023-02-01,Gasolina Super,544144.0
2023-03-01,Gasolina Super,656941.64
2023-04-01,Gasolina Super,586642.2
2023-05-01,Gasolina Super,646221.2
2023-06-01,Gasolina Super,616290.21
2023-07-01,Gasolina Super,642098.16
2023-08-01,Gasolina Super,632333.4
2023-09-01,Gasolina Super,597670.26
2023-10-01,Gasolina Super,531542.58
2023-11-01,Gasolina Super,632180.03
2023-12-01,Gasolina Super,691389.62
2024-01-01,Gasolina Super,658083.66
2024-02-01,Gasolina Super,654059.6
2024-03-01,Gasolina Super,671997.05
2024-04-01,Gasolina Super,633520.57
2024-05-01,Gasolina Super,692427.94
2024-06-01,Gasolina Super,629424.37
2024-07-01,Gasolina Super,684082.47
2024-08-01,Gasolina Super,707708.07
2024-09-01,Gasolina Super,685834.74
2024-10-01,Gasolina Super,790948.04
2024-11-01,Gasolina Super,699028.58
2024-12-01,Gasolina Super,773715.97
2025-01-01,Gasolina Super,702319.64
2025-02-01,Gasolina Super,651035.74
2025-03-01,Gasolina Super,763939.48
2025-04-01,Gasolina Super,746081.22
2025-05-01,Gasolina Super,761100.59
2000-01-01,Diesel,634667.06
2000-02-01,Diesel,642380.66
2000-03-01,Diesel,699807.25
2000-04-01,Diesel,586803.98
2000-05-01,Diesel,656948.2
2000-06-01,Diesel,570919.88
2000-07-01,Diesel,576436.02
2000-08-01,Diesel,593770.77
2000-09-01,Diesel,590145.4
2000-10-01,Diesel,641113.36
2000-11-01,Diesel,657086.3
2000-12-01,Diesel,673282.26
2001-01-01,Diesel,569328.79
2001-02-01,Diesel,597749.83
2001-03-01,Diesel,736085.97
2001-04-01,Diesel,606257.66
2001-05-01,Diesel,664082.66
2001-06-01,Diesel,559333.03
2001-07-01,Diesel,589452.73
2001-08-01,Diesel,568546.37
2001-09-01,Diesel,533108.39
2001-10-01,Diesel,603371.18
2001-11-01,Diesel,626156.18
2001-12-01,Diesel,664190.18
2002-01-01,Diesel,726672.6
2002-02-01,Diesel,694344.78
2002-03-01,Diesel,656379.29
2002-04-01,Diesel,683646.17
2002-05-01,Diesel,707165.47
2002-06-01,Diesel,667820.71
2002-07-01,Diesel,656761.6
2002-08-01,Diesel,657099.74
2002-09-01,Diesel,653664.6
2002-10-01,Diesel,653053.27
2002-11-01,Diesel,671401.33
2002-12-01,Diesel,676192.45
2003-01-01,Diesel,769843.3
2003-02-01,Diesel,709783.58
2003-03-01,Diesel,786484.49
2003-04-01,Diesel,709626.39
2003-05-01,Diesel,755982.05
2003-06-01,Diesel,641540.08
2003-07-01,Diesel,631704.12
2003-08-01,Diesel,613428.55
2003-09-01,Diesel,582989.47
2003-10-01,Diesel,722763.6
2003-11-01,Diesel,639828.39
2003-12-01,Diesel,652872.45
2004-01-01,Diesel,656987.4
2004-02-01,Diesel,659540.43
2004-03-01,Diesel,746236.84
2004-04-01,Diesel,633766.06
2004-05-01,Diesel,556369.7
2004-06-01,Diesel,560393.48
2004-07-01,Diesel,583098.55
2004-08-01,Diesel,699610.8
2004-09-01,Diesel,612639.57
2004-10-01,Diesel,619084.79
2004-11-01,Diesel,705298.16
2004-12-01,Diesel,761864.3
2005-01-01,Diesel,724692.36
2005-02-01,Diesel,717116.77
2005-03-01,Diesel,802139.58
2005-04-01,Diesel,803996.93
2005-05-01,Diesel,715360.44
2005-06-01,Diesel,681743.36
2005-07-01,Diesel,678614.47
2005-08-01,Diesel,693681.13
2005-09-01,Diesel,666258.37
2005-10-01,Diesel,589830.24
2005-11-01,Diesel,701255.47
2005-12-01,Diesel,775027.2
2006-01-01,Diesel,750946.36
2006-02-01,Diesel,734530.76
2006-03-01,Diesel,875047.29
2006-04-01,Diesel,711185.23
2006-05-01,Diesel,734289.15
2006-06-01,Diesel,672428.87
2006-07-01,Diesel,684438.7
2006-08-01,Diesel,707219.69
2006-09-01,Diesel,650791.38
2006-10-01,Diesel,683543.13
2006-11-01,Diesel,739181.99
2006-12-01,Diesel,776330.26
